"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV33956","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales",,,
"ASV33957","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",,
"ASV33958","Bacteria","Cloacimonetes","Cloacimonadia","Cloacimonadales","GZKB75",,
"ASV33959","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Candidatus_Cryptoplasma",
"ASV33960","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",,,
"ASV33961","Bacteria","Bacteroidetes","Bacteroidia",,,,
"ASV33962","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",,,
"ASV33963","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Nomurabacteria",,,
"ASV33964","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales",,,
"ASV33965","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Candidatus_Turbabacter",
"ASV33966","Bacteria","Patescibacteria","Microgenomatia","Candidatus_Woesebacteria",,,
"ASV33967","Bacteria","Patescibacteria","ABY1","Candidatus_Komeilibacteria",,,
"ASV33968","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",,,
"ASV33969","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tibeticola",
"ASV33970","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae",,
"ASV33971","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria",,,
"ASV33972","Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9",,,
"ASV33973","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Citreitalea",
"ASV33974","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus_Alysiosphaera",
"ASV33975","Bacteria","Proteobacteria","Gammaproteobacteria",,,,
"ASV33976","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2",
"ASV33977","Bacteria","Bacteroidetes","Bacteroidia",,,,
"ASV33978","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",
"ASV33979","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Azambacteria",,,
"ASV33980","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rhodopirellula",
"ASV33981","Bacteria","Proteobacteria",,,,,
"ASV33982","Bacteria","Omnitrophicaeota",,,,,
"ASV33983","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",
"ASV33984","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae",,
"ASV33985","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",,
"ASV33986","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group",,
"ASV33987","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales",,,
"ASV33988","Bacteria","Chloroflexi","Dehalococcoidia","GIF9",,,
"ASV33989","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",
"ASV33990","Bacteria","Omnitrophicaeota",,,,,
"ASV33991","Bacteria","Proteobacteria","Alphaproteobacteria",,,,
