ASV,SeqID
ASV22171,GFAVKPA02DSKVU_cs_nbp_rc
ASV22229,GESGWO201B0XZT_cs_nbp_rc
ASV23074,F48MJBB01A1PMF_cs_nbp_rc
ASV23107,F48MJBB02HDP7R_cs_nbp_rc
ASV23213,F48MJBB02JWSXN_cs_nbp_rc
ASV23226,F48MJBB02JIZEQ_cs_nbp_rc
ASV23266,GE87P2X01EMT5R_cs_nbp_rc
ASV23346,GB35ICN02FNM8B_cs_nbp_rc
ASV23359,GESGHXH02J3QMS_cs_nbp_rc
ASV23364,GFNMF7A02GXLOF_cs_nbp_rc
ASV23425,F47543201CFL9Z_cs_nbp_rc
ASV23429,F5K51YR02DXDHA_cs_nbp_rc
ASV23434,GEUHUCK01BTWMX_cs_nbp_rc
ASV24073,GB527Y402GLKHZ_cs_nbp_rc
ASV24268,GFNV2OR01ERPHK_cs_nbp_rc
ASV24850,F47543201EKHXS_cs_nbp_rc
ASV25422,GCE7VNM02J2ZV8_cs_nbp_rc
ASV25923,GFU6RAN02IAC2G_cs_nbp_rc
ASV26645,GESGWO201C7YP2_cs_nbp_rc
ASV26935,GESGWO201C83H9_cs_nbp_rc
ASV26992,F5K51YR02D9LAN_cs_nbp_rc
ASV27584,GFNMF7A01APZCO_cs_nbp_rc
ASV27589,GDNSLZP02HDLZS_cs_nbp_rc
ASV27763,GCE7VNM02JC4WI_cs_nbp_rc
ASV27814,F5K51YR02EDJIH_cs_nbp_rc
ASV28038,GF8C9E401CS7W2_cs_nbp_rc
ASV28978,F47543202JN544_cs_nbp_rc
ASV28983,F5K51YR02D5ZML_cs_nbp_rc
ASV29024,GESGHXH01DEQCL_cs_nbp_rc
ASV29674,GCKVOD102IJ9FH_cs_nbp_rc
ASV30222,GGBO4VW02HADB6_cs_nbp_rc
ASV30736,F48MJBB01EVBTG_cs_nbp_rc
ASV30821,GFAVKPA02EFMTX_cs_nbp_rc
ASV32285,GFL1J5S01D5L2N_cs_nbp_rc
ASV32512,GDGDDZP02HTBLZ_cs_nbp_rc
